Mixture;B cells;CD4 Naive;CD4 Memory;CD8 Naive;CD8 Memory;CD8 Effector;Treg cell;Th cell;Monocytes CD16;Monocytes CD14;DC;NK
TCGA-BF-A3DL-01A-11R-A20F-07;0;0;0.299062888;0.185176167;0;0.002045333;0.229757432;0.087444523;0;0.028878102;0.045861261;0.006824225
TCGA-BF-A3DN-01A-11R-A20F-07;0.005861546;0.243672988;0.231653303;0;0;0.011419202;0;0.376925427;0;0.022376142;0;0
TCGA-EE-A3JI-06A-11R-A21D-07;0;0;0.016810115;0.402797445;0.087123435;0;0;0.39878964;0;0;0.000452335;0
TCGA-EB-A3HV-01A-11R-A21D-07;0.108306498;0.045124319;0;0;0;0.00951823;0;0.396741779;0.183773818;0;0;0
TCGA-FR-A2OS-01A-11R-A21D-07;0;0;0.147508046;0;0;0;0;0.363273048;0;0.110950506;0;0
TCGA-BF-A3DM-01A-11R-A20F-07;0;0.131146238;0.346317031;0;0;0.00440132;0;0.371896524;0;0.041357249;0.004670736;0.005910594
TCGA-BF-A3DJ-01A-11R-A20F-07;0;0.322775097;0;0;0;0.011689528;0;0.088266972;0.1480405;0.196578152;0;0
TCGA-EE-A3JD-06A-11R-A20F-07;0.007830903;0.231112408;0.171256352;0;0;0.044035212;0;0.276012517;0;0.0243502;0.102661122;0
TCGA-FW-A3I3-06A-11R-A21D-07;0.012143736;0.093851115;0.109515785;0;0;0.010854152;0;0.488522637;0.111260218;0;0;0.000160609
TCGA-D3-A3MV-06A-11R-A21D-07;0.048328858;0.085727519;0.329148675;0;0;0.010095321;0;0.434192949;0;0;0.005678119;0
TCGA-EE-A3JB-06A-11R-A21D-07;0;0.168802458;0.211040978;0;0;0.02261316;0;0.147381623;0;0.057709639;0.205567257;0
TCGA-D3-A3MR-06A-11R-A21D-07;0.0007183;0.07992493;0.285744957;0;0;0.049026119;0.16085696;0;0;0;0.283232074;0.005572067
TCGA-D3-A3MU-06A-11R-A21D-07;0.044729262;0.146191447;0.154464175;0;0;0.016960946;0;0.188223449;0;0;0.178228785;0
TCGA-EE-A3J5-06A-11R-A20F-07;0;0.234927336;0.255422132;0;0;0.005865276;0;0.128875937;0;0;0.188397139;0
TCGA-EE-A3J3-06A-11R-A20F-07;0.095004381;0;0.326229852;0;0;0.009959935;0;0.260854904;0;0.042419634;0;0.00019285
TCGA-EE-A2MF-06A-11R-A21D-07;0;0.185512465;0.221517104;0;0;0.014358832;0;0.352746264;0;0.048328356;0.059955114;0.003291442
TCGA-EE-A180-06A-11R-A21D-07;0;0.250044619;0.1512989;0.097219683;0;0.035695081;0.042266315;0.129153018;0;0.057649679;0;0.009282622
TCGA-DA-A3F5-06A-11R-A20F-07;0;0.025935182;0.471446094;0;0;0.01743884;0;0.235255738;0;0;0.171242932;0.005042748
TCGA-DA-A1I0-06A-11R-A20F-07;0.11554601;0;0.180174396;0;0;0;0.266382819;0.276534722;0;0.017636467;0.009139662;0.004762071
